观察期标签,delay_window_count,总窗口数,策略编号,策略名称,window_index,window_type,window_weight,会员收入,私教收入,积分成本,平台利润贡献,累计平台利润,窗口末续费概率提升,窗口末私教购买概率提升,窗口私教收入提升,窗口活跃提升,窗口线上活跃提升,窗口结算积分
L4,2,3,S2,均衡促活策略,2,delayed,1.0,9967363.432228008,107069.55519068736,0.0,3520698.0678370087,6781725.939276913,70330.47845676342,72.94102411832885,21422.434070918796,69861.24345029748,209660.32764455548,0.0
L4,2,3,S2,均衡促活策略,3,delayed,1.0,9935016.936558455,105187.50667326193,0.0,3508812.1797974375,10290538.11907435,69149.0164240512,66.76963243313313,19540.38555349337,48902.87041520825,146762.22935118887,0.0
L4,2,3,S3,私教转化强化策略,1,active,1.0,9998574.805257369,108552.48414130916,323755.3396197923,3208311.5874626795,3208311.5874626795,71476.08455841999,77.76328567183826,22905.363021540605,108827.98538464526,357697.14832179144,58864911.62040564
L4,2,3,S3,私教转化强化策略,2,delayed,1.0,9978290.893350426,107331.37793303555,0.0,3524601.22605256,6732912.813515239,70735.58285416634,73.78033590784949,21684.256813266984,76179.58976925166,250388.0038252539,0.0
L4,2,3,S3,私教转化强化策略,3,delayed,1.0,9941300.603828825,105758.08983479673,0.0,3511182.6382905273,10244095.451805767,69377.4819583397,68.69007809147014,20110.968715028168,53325.71283847616,175271.60267767776,0.0
L4,2,3,S4,流失召回强化策略,1,active,1.0,10037588.970241684,110154.84747379874,455576.49851949443,3090626.0953072347,3090626.0953072347,72921.98279212984,83.23380161705099,24507.726354030165,162825.70510381323,505323.8358886201,75930144.40604764
L4,2,3,S4,流失召回强化策略,2,delayed,1.0,10003047.81631659,108726.32191181584,0.0,3533684.632284351,6624310.727591585,71639.79559228258,78.33492542804083,23079.200792047282,113977.99357266925,353726.685122034,0.0
L4,2,3,S4,流失召回强化策略,3,delayed,1.0,9984958.761821114,107459.69873307079,0.0,3526973.4762573107,10151284.203848897,70983.00323491677,74.23039788138925,21812.57761330223,79784.59550086845,247608.6795854239,0.0
L4,2,3,S5,高强度综合激励策略,1,active,1.0,10093591.118145987,111681.44319635516,788873.9182760085,2777387.4060339937,2777387.4060339937,75026.47109962556,88.23806327148063,26034.322076586603,300700.2620301726,961848.0322160486,112697319.68047889
L4,2,3,S5,高强度综合激励策略,2,delayed,1.0,10061402.844659502,110409.5635575859,0.0,3554613.8646981013,6332001.270732095,73810.8367360565,84.12308757161,24762.442437817343,210490.1834211208,673293.622551234,0.0
L4,2,3,S5,高强度综合激励策略,3,delayed,1.0,10030524.169546543,109790.76612642701,0.0,3543620.689179218,9875621.959911313,72668.99180012995,81.97825644992149,24143.64500665845,147343.12839478458,471305.5357858635,0.0
L4,3,4,S0,无积分基准策略,1,active,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,2852303.474602267,0.0,0.0,0.0,0.0,0.0,0.0
L4,3,4,S0,无积分基准策略,2,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0
L4,3,4,S0,无积分基准策略,3,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,8556910.423806801,0.0,0.0,0.0,0.0,0.0,0.0
L4,3,4,S0,无积分基准策略,4,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,11409213.898409069,0.0,0.0,0.0,0.0,0.0,0.0
L4,3,4,S1,低补贴保留策略,1,active,1.0,9906656.922155626,104090.3292158732,68463.38854754159,3430093.632971689,3430093.632971689,68120.54610244506,63.38432384776405,18443.208096104652,41093.083299166814,103843.06032415546,22821146.197817583
L4,3,4,S1,低补贴保留策略,2,delayed,1.0,9865621.68147361,97029.23773529773,0.0,3482076.359836353,6912169.992808042,66611.0954087636,40.227553070297,11382.116615529172,28765.15830941677,72690.14222690887,0.0
L4,3,4,S1,低补贴保留策略,3,delayed,1.0,9799886.97008683,90265.48801735112,0.0,3457040.0859355954,10369210.078743637,64244.9318105175,17.99533989373317,4618.366897582557,20135.61081659174,50883.099558836206,0.0
L4,3,4,S1,低补贴保留策略,4,delayed,1.0,9734584.820011698,85402.50742775682,0.0,3432725.439232421,13801935.517976057,61855.42101633337,2.015083070348542,-244.6136920117424,14094.927571614217,35618.16969118534,0.0
L4,3,4,S2,均衡促活策略,1,active,1.0,10004916.25292711,108277.198504514,273175.976635938,3261027.8714399044,3261027.8714399044,71722.43514519533,76.82460222708818,22630.07738474542,99801.7763575679,299514.75377793657,54635579.416558884
L4,3,4,S2,均衡促活策略,2,delayed,1.0,9967363.432228008,107069.55519068736,0.0,3520698.0678370087,6781725.939276913,70330.47845676342,72.94102411832885,21422.434070918796,69861.24345029748,209660.32764455548,0.0
L4,3,4,S2,均衡促活策略,3,delayed,1.0,9935016.936558455,105187.50667326193,0.0,3508812.1797974375,10290538.11907435,69149.0164240512,66.76963243313313,19540.38555349337,48902.87041520825,146762.22935118887,0.0
L4,3,4,S2,均衡促活策略,4,delayed,1.0,9888009.025482584,102623.84703437748,0.0,3491590.3130292175,13782128.432103567,67428.22472955928,58.69434099070857,16976.72591460892,34232.00929064575,102733.56054583217,0.0
L4,3,4,S3,私教转化强化策略,1,active,1.0,9998574.805257369,108552.48414130916,323755.3396197923,3208311.5874626795,3208311.5874626795,71476.08455841999,77.76328567183826,22905.363021540605,108827.98538464526,357697.14832179144,58864911.62040564
L4,3,4,S3,私教转化强化策略,2,delayed,1.0,9978290.893350426,107331.37793303555,0.0,3524601.22605256,6732912.813515239,70735.58285416634,73.78033590784949,21684.256813266984,76179.58976925166,250388.0038252539,0.0
L4,3,4,S3,私教转化强化策略,3,delayed,1.0,9941300.603828825,105758.08983479673,0.0,3511182.6382905273,10244095.451805767,69377.4819583397,68.69007809147014,20110.968715028168,53325.71283847616,175271.60267767776,0.0
L4,3,4,S3,私教转化强化策略,4,delayed,1.0,9898964.666821036,103435.94003953037,0.0,3495668.4153992217,13739763.867204988,67833.6584802859,61.22919668771469,17788.818919761805,37327.99898693331,122690.12187437438,0.0
L4,3,4,S4,流失召回强化策略,1,active,1.0,10037588.970241684,110154.84747379874,455576.49851949443,3090626.0953072347,3090626.0953072347,72921.98279212984,83.23380161705099,24507.726354030165,162825.70510381323,505323.8358886201,75930144.40604764
L4,3,4,S4,流失召回强化策略,2,delayed,1.0,10003047.81631659,108726.32191181584,0.0,3533684.632284351,6624310.727591585,71639.79559228258,78.33492542804083,23079.200792047282,113977.99357266925,353726.685122034,0.0
L4,3,4,S4,流失召回强化策略,3,delayed,1.0,9984958.761821114,107459.69873307079,0.0,3526973.4762573107,10151284.203848897,70983.00323491677,74.23039788138925,21812.57761330223,79784.59550086845,247608.6795854239,0.0
L4,3,4,S4,流失召回强化策略,4,delayed,1.0,9948176.914789693,106024.75907613618,0.0,3513669.3478992335,13664953.55174813,69623.49047943996,69.58122277037765,20377.637956367616,55849.21685060793,173326.07570979666,0.0
L4,3,4,S5,高强度综合激励策略,1,active,1.0,10093591.118145987,111681.44319635516,788873.9182760085,2777387.4060339937,2777387.4060339937,75026.47109962556,88.23806327148063,26034.322076586603,300700.2620301726,961848.0322160486,112697319.68047889
L4,3,4,S5,高强度综合激励策略,2,delayed,1.0,10061402.844659502,110409.5635575859,0.0,3554613.8646981013,6332001.270732095,73810.8367360565,84.12308757161,24762.442437817343,210490.1834211208,673293.622551234,0.0
L4,3,4,S5,高强度综合激励策略,3,delayed,1.0,10030524.169546543,109790.76612642701,0.0,3543620.689179218,9875621.959911313,72668.99180012995,81.97825644992149,24143.64500665845,147343.12839478458,471305.5357858635,0.0
L4,3,4,S5,高强度综合激励策略,4,delayed,1.0,9997378.691469137,108378.69501334,0.0,3531596.1505181994,13407218.110429512,71428.60150817953,77.16143105118401,22731.573893571433,103140.18987634916,329913.87505010463,0.0
L4,4,5,S0,无积分基准策略,1,active,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,2852303.474602267,0.0,0.0,0.0,0.0,0.0,0.0
L4,4,5,S0,无积分基准策略,2,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,5704606.949204534,0.0,0.0,0.0,0.0,0.0,0.0
L4,4,5,S0,无积分基准策略,3,delayed,1.0,8076026.680760961,85647.12111976856,0.0,2852303.474602267,8556910.423806801,0.0,0.0,0.0,0.0,0.0,0.0
